"Load Lists","Načíst seznamy"
"Ecomail api error: %1","Ecomail api error: %1"
"Loading ...","Načítám ..."
"Ecomail Section","Ecomail Sekce"
Ecomail,Ecomail
General,Obecné
Enabled,Zapnout
"API Key","API Klíč"
"Subscriber List","Seznam kontaktů"
"Choose a subscriber list from your Ecomail account. Please note it can take up to 30 minutes for the newly created list to be available.","Zvolte seznam kontaktů z vašeho Ecomail účtu. Upozorňujeme, že může trvat až 30 minut než se nově vytvořený seznam objeví."
"Skip Double opt-in","Přeskočit Double opt-in"
"Personal Information","Osobní informace"
"Choose which information should be shared with Ecomail.","Zvolte které informace chcete sdílet se službou Ecomail."
"Customer name","Jméno zákazníka"
"Customer address","Adresa"
"Customer DOB","Datum narození"
"Order data","Data objednávek"
"Cart items","Položky košíku"
"Cart items will be sent to Ecomail to support abandoned cart features.","Cart items will be sent to Ecomail to support abandoned cart features."
"Behavior Tracking","Sledování chování"
"App ID","App ID"
"Status","Stav"
"Active","Aktivní"
"Inactive","Neaktivní"
"Error","Chyba"
"Address type","Typ adresy"
"Trigger Autoresponders","Spouštět automatizované odpovědi"
"Runs automated campaigns after adding a new subscription.","Spustí automatizované kampaně po přidání nového kontaktu."
