"Load Lists","Load Lists"
"Ecomail api error: %1","Ecomail api error: %1"
"Loading ...","Loading ..."
"Ecomail Section","Ecomail Section"
Ecomail,Ecomail
General,General
Enabled,Enabled
"API Key","API Key"
"Subscriber List","Subscriber List"
"Choose a subscriber list from your Ecomail account. Please note it can take up to 30 minutes for the newly created list to be available.","Choose a subscriber list from your Ecomail account. Please note it can take up to 30 minutes for the newly created list to be available."
"Skip Double opt-in","Skip Double opt-in"
"Personal Information","Personal Information"
"Choose which information should be shared with Ecomail.","Choose which information should be shared with Ecomail."
"Customer name","Customer name"
"Customer address","Customer address"
"Customer DOB","Customer DOB"
"Order data","Order data"
"Cart items","Cart items"
"Cart items will be sent to Ecomail to support abandoned cart features.","Cart items will be sent to Ecomail to support abandoned cart features."
"Behavior Tracking","Behavior Tracking"
"App ID","App ID"
"Status","Status"
"Active","Active"
"Inactive","Inactive"
"Error","Error"
"Address type","Address type"
"Trigger Autoresponders","Trigger Autoresponders"
"Runs automated campaigns after adding a new subscription.","Runs automated campaigns after adding a new subscription."
"Invalid request data, JSON unserialize error.","Invalid request data, JSON unserialize error."
"Invalid request data.","Invalid request data."
